imagem,Threshold Binary,Mean Thresh,Gaussian Thresh,Otsu Thresh,Riddler-Calvard
healthy-01-roi1.tif,0.5987229289274937,0.4172722521033907,0.4089807676014572,0.5125828812537673,0.5125828812537673
healthy-01-roi2.tif,0.65139542454645,0.48140809551993,0.4725054082412529,0.5562911916553315,0.5572745152709434
healthy-01-roi3.tif,0.646236329850428,0.4618874038072094,0.4516957277735346,0.5851124341132304,0.5905389236964325
healthy-01-roi4.tif,0.6292817755531415,0.4729790084859312,0.4636595696933995,0.6055758461163867,0.6089448974549049
healthy-01-roi5.tif,0.6981979133733797,0.4788349247784571,0.4707710234997087,0.5919475424748657,0.5949976133651551
healthy-02-roi1.tif,0.77451635861712,0.4939061223039477,0.4852113262792054,0.669503066051039,0.669503066051039
healthy-02-roi2.tif,0.6691744721213232,0.471655389205605,0.4603837426319535,0.614499795951294,0.6239027421735415
healthy-02-roi3.tif,0.7003137797160027,0.4889000277004656,0.4815294366346052,0.6010120529575136,0.6044490410610927
healthy-02-roi4.tif,0.647170373904228,0.4622022831506908,0.4527157192558728,0.5383535929726084,0.5383535929726084
healthy-02-roi5.tif,0.69934321469779,0.4742929593500142,0.4660423982312394,0.6399616214919644,0.6430206801556131
healthy-03-roi1.tif,0.6849214114178981,0.4750260716834074,0.4664327550005525,0.5774523109402097,0.5811591581873042
healthy-03-roi2.tif,0.6386542254142996,0.4755214924566667,0.4686558210618028,0.609239014174895,0.61169333226899
healthy-03-roi3.tif,0.6162797926172744,0.4947118383162812,0.4889284906839732,0.6042851340373679,0.6042851340373679
healthy-03-roi4.tif,0.6373348721867835,0.4572139730495236,0.451930388373194,0.5804150525125932,0.583776699136964
healthy-04-roi1.tif,0.6300200478561728,0.4583089354725377,0.4493420664424382,0.6005579931323922,0.6005579931323922
healthy-04-roi2.tif,0.7196807313809315,0.5129399101460127,0.5042666729354239,0.695654258251636,0.695654258251636
healthy-04-roi3.tif,0.6943303307830501,0.5199119755803223,0.5101875846984142,0.7053321038472141,0.7082019687810334
healthy-04-roi4.tif,0.7767944198604965,0.5044392186975092,0.4958164805312405,0.7508374526083409,0.7549351518620194
healthy-04-roi5.tif,0.6140586485337867,0.4845296526290099,0.4756376094404263,0.5421326410755002,0.5451640604717113
healthy-05-roi3.tif,0.5417732597280194,0.4948504423171712,0.4871017678968661,0.6767203820102009,0.6779366124329916
healthy-06-roi1.tif,0.59064731628657,0.4299279258666056,0.4237913959412657,0.5811676176712431,0.5836986872528334
healthy-06-roi2.tif,0.5188224592099406,0.4191468402041852,0.4133735876128415,0.5177908075434577,0.5200619715351085
healthy-07-roi1.tif,0.5535705265284817,0.3994548891461395,0.3922950434578341,0.4958551788049204,0.4988936345391859
healthy-07-roi2.tif,0.4161119036297353,0.4009876864095649,0.3962703198741479,0.4206724515250294,0.4219107328987694
healthy-08-roi1.tif,0.5797526594512807,0.4802086657324805,0.4730224592378061,0.5936916062485985,0.5948746461787303
healthy-09-roi1.tif,0.688631825380431,0.4439972966330794,0.43785054627595,0.6426960958822832,0.6478311450889147
healthy-10-roi1.tif,0.7352338912390411,0.4886483733367288,0.4821641284438923,0.6526128903239652,0.656387838689351
healthy-10-roi2.tif,0.3704194133394743,0.3379236899122324,0.3328376567347763,0.3831762052347185,0.3855830670926518
healthy-10-roi3.tif,0.6975916230366492,0.4209985768152941,0.4132735796208391,0.4944399588960658,0.4955763618453153
healthy-10-roi4.tif,0.5228202336462349,0.3994722783243208,0.3924925913730655,0.4084473768583048,0.4084473768583048
healthy-11-roi1.tif,0.6140307641755488,0.4791735663516164,0.4721087215483342,0.6054910071577753,0.6080578554845603
healthy-11-roi2.tif,0.6464264727909576,0.4833746134004081,0.4773332304487055,0.6236087260700884,0.6264731476209404
healthy-11-roi3.tif,0.3941814660768909,0.3662276809484931,0.3608634527432242,0.3664826768952505,0.369759736206041
healthy-11-roi4.tif,0.6924593594076935,0.5195636061011925,0.5109968468291661,0.6813894548526561,0.6907856967112278
healthy-12-roi1.tif,0.7017626831407092,0.5489365991331518,0.5395489468280741,0.7026604704020131,0.7020595716747354
healthy-12-roi2.tif,0.7470924111621685,0.4978363548943632,0.4858984230187926,0.7444148285497225,0.7444148285497225
healthy-13-roi1.tif,0.4030798075888672,0.3881903575351224,0.3863505297325798,0.3264747552807831,0.3259302269318236
healthy-13-roi2.tif,0.7077675495832305,0.5085463128764447,0.498699928401854,0.7137847248315423,0.7137847248315423
healthy-13-roi3.tif,0.6641072358146799,0.4589020811458417,0.451167441357691,0.639100782407464,0.6429678107066275
healthy-13-roi4.tif,0.6323309208884452,0.441855763099367,0.432487341376508,0.6240372126740569,0.6264270062366877
healthy-14-roi2.tif,0.6282503142483918,0.5018056911621123,0.4917695959190421,0.6235559142764212,0.6244945681297803
